First,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Michigan,0.6172,0.794,0.4,15,23.5,10.1,1.093,115.9,0.943,92.7,0.15,23.2,73.6,63.5,10.1,1.125,1.034,0.091,0.466,0.432,0.034,0.363,0.657,0.506,0.092,0.136,0.191,0.055,0.057,0.233
Loser,Houston,0.6126,0.812,0.667,62,22.1,12.5,1.107,115.8,0.928,100,0.179,15.8,77.4,64.9,12.5,1.135,1.01,0.125,0.466,0.397,0.069,0.387,0.717,0.549,0.092,0.174,0.19,0.016,0.058,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Texas A&M,0.5959,0.625,0.444,16,12.6,5.2,1.037,111.2,0.966,94.3,0.071,16.9,75,69.8,5.2,1.073,0.99,0.083,0.457,0.403,0.054,0.327,0.667,0.539,0.078,0.188,0.156,-0.032,0.095,0.232
Loser,North Carolina,0.6418,0.714,0.545,1,21.7,8.9,1.115,122,0.995,96.9,0.12,25.1,82,73.1,8.9,1.108,1.049,0.059,0.46,0.422,0.038,0.364,0.741,0.566,0.077,0.164,0.158,-0.006,0.068,0.214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Florida State,0.5699,0.645,0.5,38,7.7,7.3,1.087,115.8,0.99,100,0.097,15.8,81.8,74.5,7.3,1.132,1.048,0.084,0.474,0.421,0.053,0.351,0.685,0.521,0.089,0.173,0.187,0.014,0.083,0.243
Loser,Gonzaga,0.5978,0.882,0.5,70,17.9,17.4,1.172,119.8,0.931,95.1,0.241,24.7,84.5,67.1,17.4,1.201,1.008,0.193,0.503,0.405,0.098,0.374,0.722,0.564,0.089,0.157,0.17,0.013,0.063,0.236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Michigan,0.6172,0.794,0.4,15,23.5,10.1,1.093,115.9,0.943,92.7,0.15,23.2,73.6,63.5,10.1,1.125,1.034,0.091,0.466,0.432,0.034,0.363,0.657,0.506,0.092,0.136,0.191,0.055,0.057,0.233
Loser,Texas A&M,0.5959,0.625,0.444,16,12.6,5.2,1.037,111.2,0.966,94.3,0.071,16.9,75,69.8,5.2,1.073,0.99,0.083,0.457,0.403,0.054,0.327,0.667,0.539,0.078,0.188,0.156,-0.032,0.095,0.232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Michigan,0.6172,0.794,0.4,15,23.5,10.1,1.093,115.9,0.943,92.7,0.15,23.2,73.6,63.5,10.1,1.125,1.034,0.091,0.466,0.432,0.034,0.363,0.657,0.506,0.092,0.136,0.191,0.055,0.057,0.233
Loser,Florida State,0.5699,0.645,0.5,38,7.7,7.3,1.087,115.8,0.99,100,0.097,15.8,81.8,74.5,7.3,1.132,1.048,0.084,0.474,0.421,0.053,0.351,0.685,0.521,0.089,0.173,0.187,0.014,0.083,0.243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
